,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.5343722586906273,0.0,True
1,0,GoChoice,-0.26680424345409265,0.03403846153846154,True
2,0,Reward,-0.1791010783371197,0.13789285714285715,False
3,0,StimulusSF_0.023,0.37825647411364327,0.0057,True
4,0,StimulusSF_0.027,0.6068620305083037,0.0,True
5,0,StimulusSF_0.033,0.4478636352280285,0.0013125,True
6,0,StimulusSF_0.06,0.4122570998999118,0.0035,True
7,0,StimulusSF_0.1,0.09581294924990326,0.4062,False
8,0,StimulusSF_0.25,0.27689520895857855,0.03403846153846154,True
9,0,StimulusORI_0,0.4411881894223352,0.0,True
10,0,StimulusORI_15,0.35696975341315373,0.0,True
11,0,StimulusORI_30,0.5992729082177017,0.0,True
12,0,StimulusORI_60,0.5880141895418699,0.0,True
13,0,StimulusORI_75,0.5749008508232483,0.0,True
14,0,StimulusORI_90,0.21173448912483997,0.006409090909090909,True
