,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.13285382368643356,0.0034999999999999996,True
1,0,GoChoice,0.015322312409590035,0.9433,False
2,0,Reward,0.01875722294890561,0.8693571428571428,False
3,0,StimulusSF_0.023,0.047138902370651464,0.0624,False
4,0,StimulusSF_0.027,0.045354100761905596,0.0624,False
5,0,StimulusSF_0.033,0.07854434527474796,0.0015,True
6,0,StimulusSF_0.06,0.04203646766452217,0.10049999999999999,False
7,0,StimulusSF_0.1,0.03235671762364815,0.2848333333333333,False
8,0,StimulusSF_0.25,-0.002084897558157187,0.8693571428571428,False
9,0,StimulusORI_0,0.0344225297304421,0.619375,False
10,0,StimulusORI_15,0.04869302323538598,0.15712500000000001,False
11,0,StimulusORI_30,0.04610660246400279,0.10049999999999999,False
12,0,StimulusORI_60,0.03378198428663511,0.5188636363636364,False
13,0,StimulusORI_75,0.03148029105023933,0.36060000000000003,False
14,0,StimulusORI_90,0.10040793410483922,0.0,True
