,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.13555501436532807,0.00030000000000000003,True
1,0,GoChoice,-0.018189602016473006,0.4588846153846154,False
2,0,Reward,0.013020039867609147,0.8402,False
3,0,StimulusSF_0.023,0.05141027174236699,0.003375,True
4,0,StimulusSF_0.027,0.15443989280838405,0.0,True
5,0,StimulusSF_0.033,0.08510722388537827,0.0,True
6,0,StimulusSF_0.06,0.05202702905242037,0.0035,True
7,0,StimulusSF_0.1,0.020198799685697162,0.34025,False
8,0,StimulusSF_0.25,0.009935963625268959,0.6823928571428571,False
9,0,StimulusORI_0,0.08072144947108716,0.0,True
10,0,StimulusORI_15,0.03865794606609125,0.04390909090909091,True
11,0,StimulusORI_30,0.05003646489415833,0.0019285714285714286,True
12,0,StimulusORI_60,0.07748875039694987,0.0,True
13,0,StimulusORI_75,0.04962116963265044,0.0019285714285714286,True
14,0,StimulusORI_90,0.05318251282188037,0.0037500000000000003,True
