,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.07704739411779381,0.379,False
1,0,GoChoice,-0.016042933597743364,0.8693,False
2,0,Reward,0.04368924562192411,0.8693,False
3,0,StimulusSF_0.023,0.01672658761268164,0.8693,False
4,0,StimulusSF_0.027,0.038502843677977794,0.379,False
5,0,StimulusSF_0.033,0.03849934406589476,0.379,False
6,0,StimulusSF_0.06,0.011740281381533216,0.8693,False
7,0,StimulusSF_0.1,0.011207690391201064,0.8693,False
8,0,StimulusSF_0.25,0.007932481700588632,0.8693,False
9,0,StimulusORI_0,0.016285581303688745,0.8693,False
10,0,StimulusORI_15,0.024263479767325374,0.8693,False
11,0,StimulusORI_30,0.02845477595045526,0.8693,False
12,0,StimulusORI_60,0.02706549952659694,0.8693,False
13,0,StimulusORI_75,0.018584239977599934,0.8693,False
14,0,StimulusORI_90,0.00874889709668687,0.8693,False
