,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.1234118299768398,0.0,True
1,0,GoChoice,-0.04826346181163643,0.04530000000000001,True
2,0,Reward,-0.04166027113412851,0.05525,False
3,0,StimulusSF_0.023,0.041897246403953425,0.0029999999999999996,True
4,0,StimulusSF_0.027,0.06359977422897126,0.0,True
5,0,StimulusSF_0.033,0.03112168928175403,0.04530000000000001,True
6,0,StimulusSF_0.06,0.021477726601629422,0.171,False
7,0,StimulusSF_0.1,0.016095438861260608,0.29400000000000004,False
8,0,StimulusSF_0.25,0.022392127184327336,0.113625,False
9,0,StimulusORI_0,0.028198747895475218,0.5788636363636364,False
10,0,StimulusORI_15,0.02034134260103279,0.9159,False
11,0,StimulusORI_30,0.02845262795995739,0.7262307692307691,False
12,0,StimulusORI_60,0.054837462581405455,0.05828571428571428,False
13,0,StimulusORI_75,0.03333926769539815,0.639875,False
14,0,StimulusORI_90,0.022158790507499658,0.9124285714285715,False
