,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.48378736015464413,0.004125,True
1,0,GoChoice,0.09376024986141848,0.5975,False
2,0,Reward,-0.26705668863034115,0.055999999999999994,False
3,0,StimulusSF_0.023,0.24385856435093362,0.12333333333333334,False
4,0,StimulusSF_0.027,0.8076263849353551,0.0,True
5,0,StimulusSF_0.033,0.12563449438026922,0.4661785714285714,False
6,0,StimulusSF_0.06,0.14036071099718636,0.44863636363636367,False
7,0,StimulusSF_0.1,0.28470184878959887,0.0774375,False
8,0,StimulusSF_0.25,0.11747135776342169,0.4661785714285714,False
9,0,StimulusORI_0,0.10992253384449593,0.4661785714285714,False
10,0,StimulusORI_15,0.17260574696102476,0.171,False
11,0,StimulusORI_30,0.7595071413100878,0.0,True
12,0,StimulusORI_60,0.2692734937523843,0.008100000000000001,True
13,0,StimulusORI_75,0.4574485996939016,0.0,True
14,0,StimulusORI_90,0.19515113160757722,0.0774375,False
