,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.20702766121187532,0.0,True
1,0,GoChoice,-0.015696325667977684,0.6148846153846154,False
2,0,Reward,0.03554178479546602,0.459125,False
3,0,StimulusSF_0.023,0.04533419695569019,0.051833333333333335,False
4,0,StimulusSF_0.027,0.08919283757251265,0.0,True
5,0,StimulusSF_0.033,0.04403107650728336,0.051833333333333335,False
6,0,StimulusSF_0.06,0.04684472711033938,0.051833333333333335,False
7,0,StimulusSF_0.1,0.037965813708379495,0.08604545454545455,False
8,0,StimulusSF_0.25,0.040734051007040195,0.0684,False
9,0,StimulusORI_0,0.01859029662765843,0.7480714285714286,False
10,0,StimulusORI_15,0.024813798968517875,0.8438,False
11,0,StimulusORI_30,0.0759009851300668,0.006375,True
12,0,StimulusORI_60,0.07734508637768206,0.008100000000000001,True
13,0,StimulusORI_75,0.08790795392532624,0.0,True
14,0,StimulusORI_90,0.05798971455693716,0.015499999999999998,True
