,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.4471924899272123,0.010875,True
1,0,GoChoice,-0.019520487113871887,0.7305,False
2,0,Reward,0.08433170528922573,0.7305,False
3,0,StimulusSF_0.023,0.7626319440758949,0.0,True
4,0,StimulusSF_0.027,0.48633177532358896,0.004200000000000001,True
5,0,StimulusSF_0.033,0.6615441276515655,0.0,True
6,0,StimulusSF_0.06,0.19195870479101412,0.2686363636363637,False
7,0,StimulusSF_0.1,0.47441530144282323,0.005999999999999999,True
8,0,StimulusSF_0.25,0.26004236158312843,0.1235,False
9,0,StimulusORI_0,0.2352943099307625,0.1308,False
10,0,StimulusORI_15,0.1670694084540671,0.38637499999999997,False
11,0,StimulusORI_30,0.3110707611009383,0.006857142857142858,True
12,0,StimulusORI_60,0.14522577849253918,0.489,False
13,0,StimulusORI_75,0.3519678444922147,0.001125,True
14,0,StimulusORI_90,0.39591934920491895,0.0005,True
