,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.7059729205126224,0.0,True
1,0,GoChoice,-0.26666620935540986,0.0104,True
2,0,Reward,-0.14635822629754583,0.1394,False
3,0,StimulusSF_0.023,0.4186181457853423,0.0016,True
4,0,StimulusSF_0.027,0.3886254479324324,0.0053,True
5,0,StimulusSF_0.033,0.27733033841147803,0.045,True
6,0,StimulusSF_0.06,0.08084570370315132,0.5559,False
7,0,StimulusSF_0.1,0.18603543240868015,0.2146,False
8,0,StimulusSF_0.25,0.3368376339248186,0.0309,True
9,0,StimulusORI_0,0.4367188760605854,0.0001,True
10,0,StimulusORI_15,0.24660500795105755,0.0719,False
11,0,StimulusORI_30,0.08438413905349591,0.9334,False
12,0,StimulusORI_60,0.38272701528512776,0.0002,True
13,0,StimulusORI_75,0.48382440916612973,0.0,True
14,0,StimulusORI_90,0.2302739979688477,0.0651,False
