,index,Regressor,deltaR
0,0,CategoryID,0.17158639943756
1,0,GoChoice,0.13599382081902464
2,0,Reward,0.030670996821370755
3,0,StimulusSF_0.023,0.3522250910358237
4,0,StimulusSF_0.027,0.5629638572106883
5,0,StimulusSF_0.033,0.2372667841181965
6,0,StimulusSF_0.06,0.1526902719776298
7,0,StimulusSF_0.1,0.024623436688201855
8,0,StimulusSF_0.25,0.1399507471565019
9,0,StimulusORI_0,0.1477742311160565
10,0,StimulusORI_15,0.31355809423544595
11,0,StimulusORI_30,0.32107051142298904
12,0,StimulusORI_60,0.13655303388013884
13,0,StimulusORI_75,0.41190908287303124
14,0,StimulusORI_90,0.37601740271349965
