,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.4471924899272123,0.0058,True
1,0,GoChoice,-0.019520487113871887,0.7305,False
2,0,Reward,0.08433170528922573,0.7163,False
3,0,StimulusSF_0.023,0.7626319440758949,0.0,True
4,0,StimulusSF_0.027,0.48633177532358896,0.0014,True
5,0,StimulusSF_0.033,0.6615441276515655,0.0,True
6,0,StimulusSF_0.06,0.19195870479101412,0.197,False
7,0,StimulusSF_0.1,0.47441530144282323,0.0024,True
8,0,StimulusSF_0.25,0.26004236158312843,0.0741,False
9,0,StimulusORI_0,0.2352943099307625,0.0872,False
10,0,StimulusORI_15,0.1670694084540671,0.3091,False
11,0,StimulusORI_30,0.3110707611009383,0.0032,True
12,0,StimulusORI_60,0.14522577849253918,0.4238,False
13,0,StimulusORI_75,0.3519678444922147,0.0003,True
14,0,StimulusORI_90,0.39591934920491895,0.0001,True
