,index,Regressor,S
0,0,CategoryID,0.1354049860736034
1,0,GoChoice,-0.002933957555875134
2,0,Reward,0.01022518835958886
3,0,StimulusSF_0.023,0.0488131106905041
4,0,StimulusSF_0.027,0.056253267175080376
5,0,StimulusSF_0.033,0.07612566229184652
6,0,StimulusSF_0.06,0.025593760660367403
7,0,StimulusSF_0.1,0.06071255093690969
8,0,StimulusSF_0.25,0.027404712859193523
9,0,StimulusORI_0,0.018658366508887584
10,0,StimulusORI_15,0.014452872506978633
11,0,StimulusORI_30,0.038036654341976533
12,0,StimulusORI_60,0.03262166782739992
13,0,StimulusORI_75,0.04991984009750702
14,0,StimulusORI_90,0.07214790737275982
