,index,Regressor,S
0,0,CategoryID,0.06396619656467516
1,0,GoChoice,0.04421198745808211
2,0,Reward,0.08111722219270188
3,0,StimulusSF_0.023,0.0699386955351241
4,0,StimulusSF_0.027,0.07671574197659307
5,0,StimulusSF_0.033,0.08020877367366637
6,0,StimulusSF_0.06,0.02489928559113176
7,0,StimulusSF_0.1,0.0013471282842520591
8,0,StimulusSF_0.25,0.019025114296241794
9,0,StimulusORI_0,0.02428466957105423
10,0,StimulusORI_15,0.06844953153827645
11,0,StimulusORI_30,0.054904110289334
12,0,StimulusORI_60,0.028936648150584783
13,0,StimulusORI_75,0.0695907418986174
14,0,StimulusORI_90,0.030340615040224853
