,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.27164063125180943,0.0461,True
1,0,GoChoice,0.08557187250508369,0.6283,False
2,0,Reward,0.05618265552613985,0.8333,False
3,0,StimulusSF_0.023,0.16995279666323942,0.1827,False
4,0,StimulusSF_0.027,0.5335396561618881,0.0001,True
5,0,StimulusSF_0.033,0.30325776470923244,0.0268,True
6,0,StimulusSF_0.06,0.12182453829515646,0.4055,False
7,0,StimulusSF_0.1,0.19224300850803033,0.1277,False
8,0,StimulusSF_0.25,0.36847712465835647,0.0032,True
9,0,StimulusORI_0,0.17599617493873118,0.0928,False
10,0,StimulusORI_15,0.07884614565115505,0.9004,False
11,0,StimulusORI_30,0.3158568770919977,0.0,True
12,0,StimulusORI_60,0.1301351133439746,0.3022,False
13,0,StimulusORI_75,0.3399485636728199,0.0,True
14,0,StimulusORI_90,0.4962190966788329,0.0,True
