,index,Regressor,S
0,0,CategoryID,0.11989637789937171
1,0,GoChoice,0.01975291806824504
2,0,Reward,0.012044538796411866
3,0,StimulusSF_0.023,0.037474688812008015
4,0,StimulusSF_0.027,0.06551933736323765
5,0,StimulusSF_0.033,0.04108022100249714
6,0,StimulusSF_0.06,0.033864880262581734
7,0,StimulusSF_0.1,0.03250006443548876
8,0,StimulusSF_0.25,0.04830742951935476
9,0,StimulusORI_0,0.023177049193515726
10,0,StimulusORI_15,0.012470903456316799
11,0,StimulusORI_30,0.024966708405831636
12,0,StimulusORI_60,0.04573223039259562
13,0,StimulusORI_75,0.0741877660981971
14,0,StimulusORI_90,0.07815672869069873
