,index,Regressor,deltaR
0,0,CategoryID,0.5339013934531526
1,0,GoChoice,0.1620282482979197
2,0,Reward,-0.04337062355989041
3,0,StimulusSF_0.023,0.3622608953699547
4,0,StimulusSF_0.027,0.48148829179527675
5,0,StimulusSF_0.033,0.4025464692971032
6,0,StimulusSF_0.06,0.28242842799418416
7,0,StimulusSF_0.1,0.24442385704551348
8,0,StimulusSF_0.25,0.23478225835195243
9,0,StimulusORI_0,0.5072375255375526
10,0,StimulusORI_15,0.14876784834703313
11,0,StimulusORI_30,0.398838930969899
12,0,StimulusORI_60,0.17211188648062029
13,0,StimulusORI_75,0.2359525592846908
14,0,StimulusORI_90,0.23686889126224864
