,index,Regressor,S
0,0,CategoryID,0.14403530275706367
1,0,GoChoice,0.06548829495409497
2,0,Reward,-0.04055073894776579
3,0,StimulusSF_0.023,0.07488687928930636
4,0,StimulusSF_0.027,0.03319732486008979
5,0,StimulusSF_0.033,0.052155963854441954
6,0,StimulusSF_0.06,0.027650078525145432
7,0,StimulusSF_0.1,0.049172632749694564
8,0,StimulusSF_0.25,0.01910184640096103
9,0,StimulusORI_0,0.0358477339030802
10,0,StimulusORI_15,0.04843250745726324
11,0,StimulusORI_30,0.07061217389944284
12,0,StimulusORI_60,0.037054100227940034
13,0,StimulusORI_75,0.0792978107145134
14,0,StimulusORI_90,0.03488866130885174
