,index,Regressor,deltaR
0,0,CategoryID,0.22330038913939276
1,0,GoChoice,0.2736092892264167
2,0,Reward,0.05603227890641144
3,0,StimulusSF_0.023,0.26108408140764183
4,0,StimulusSF_0.027,0.09688418806669813
5,0,StimulusSF_0.033,0.3746507384575975
6,0,StimulusSF_0.06,0.49948612658165215
7,0,StimulusSF_0.1,0.1865106390239032
8,0,StimulusSF_0.25,0.29716674917084773
9,0,StimulusORI_0,0.2361687677700291
10,0,StimulusORI_15,0.1628440727613864
11,0,StimulusORI_30,0.09577671423423742
12,0,StimulusORI_60,0.11120020650356043
13,0,StimulusORI_75,0.43670012430358024
14,0,StimulusORI_90,0.3554576427767828
