,index,Regressor,S
0,0,CategoryID,0.17463332620569602
1,0,GoChoice,0.01587413358739946
2,0,Reward,-0.004574635592368266
3,0,StimulusSF_0.023,0.08021779355468982
4,0,StimulusSF_0.027,0.08377845506290182
5,0,StimulusSF_0.033,0.08710336249026782
6,0,StimulusSF_0.06,0.028660715840024883
7,0,StimulusSF_0.1,0.0314113577373349
8,0,StimulusSF_0.25,0.025661683490884588
9,0,StimulusORI_0,0.07213583877241776
10,0,StimulusORI_15,0.03875834371238707
11,0,StimulusORI_30,0.047087631454264145
12,0,StimulusORI_60,0.04987650811693489
13,0,StimulusORI_75,0.0505215501861393
14,0,StimulusORI_90,0.047990025417700824
