,index,Regressor,deltaR
0,0,CategoryID,0.2308351224792383
1,0,GoChoice,0.1675841346590518
2,0,Reward,0.010520237423179313
3,0,StimulusSF_0.023,0.4519100529292208
4,0,StimulusSF_0.027,0.3329156737991973
5,0,StimulusSF_0.033,0.4401036815768471
6,0,StimulusSF_0.06,0.13575983539852898
7,0,StimulusSF_0.1,0.426085989750841
8,0,StimulusSF_0.25,0.7216569441436209
9,0,StimulusORI_0,0.20869286660770406
10,0,StimulusORI_15,0.25984827381343095
11,0,StimulusORI_30,0.33659044639925567
12,0,StimulusORI_60,0.3707987857341681
13,0,StimulusORI_75,0.41208965370797407
14,0,StimulusORI_90,0.28026217287073796
