,index,Regressor,S
0,0,CategoryID,0.16089242104492935
1,0,GoChoice,0.027428432274619774
2,0,Reward,0.0041925200717565225
3,0,StimulusSF_0.023,0.05300176779273147
4,0,StimulusSF_0.027,0.045272602752405466
5,0,StimulusSF_0.033,0.05678161099092717
6,0,StimulusSF_0.06,0.059690701834147125
7,0,StimulusSF_0.1,0.0439480841236187
8,0,StimulusSF_0.25,0.058620110564952255
9,0,StimulusORI_0,0.027920456647632957
10,0,StimulusORI_15,0.02879541098336312
11,0,StimulusORI_30,0.019876610438895652
12,0,StimulusORI_60,0.06920426433664761
13,0,StimulusORI_75,0.07327728177407472
14,0,StimulusORI_90,0.08021752553491088
