,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.13749458588090213,0.0094,True
1,0,GoChoice,0.006789825876787782,0.94,False
2,0,Reward,-0.012296899339085633,0.5767,False
3,0,StimulusSF_0.023,0.03698790065309711,0.3284,False
4,0,StimulusSF_0.027,0.037004419390495806,0.3054,False
5,0,StimulusSF_0.033,0.020510288180703138,0.6227,False
6,0,StimulusSF_0.06,0.0043805532639110975,0.9662,False
7,0,StimulusSF_0.1,0.03131929043598839,0.3426,False
8,0,StimulusSF_0.25,0.0820387728111131,0.012,True
9,0,StimulusORI_0,0.002446889044892703,0.6769,False
10,0,StimulusORI_15,0.07142516302152521,0.0752,False
11,0,StimulusORI_30,0.029937372784194546,0.5663,False
12,0,StimulusORI_60,0.04048820636805023,0.3343,False
13,0,StimulusORI_75,0.07866591883376853,0.0777,False
14,0,StimulusORI_90,0.020018441220809115,0.8717,False
