,index,Regressor,deltaR
0,0,CategoryID,0.343571250531465
1,0,GoChoice,-0.11031415265595106
2,0,Reward,0.2147222656465172
3,0,StimulusSF_0.023,0.36602417149538735
4,0,StimulusSF_0.027,0.16023715223535923
5,0,StimulusSF_0.033,0.20384830666541853
6,0,StimulusSF_0.06,0.4966105150011788
7,0,StimulusSF_0.1,0.3580082489033084
8,0,StimulusSF_0.25,0.4730690727655341
9,0,StimulusORI_0,0.2232912478516736
10,0,StimulusORI_15,0.42589731802800707
11,0,StimulusORI_30,0.12778195124203368
12,0,StimulusORI_60,0.550514064697477
13,0,StimulusORI_75,0.8870763888128448
14,0,StimulusORI_90,0.3780301115218373
