,index,Regressor,S
0,0,CategoryID,0.1781192056235107
1,0,GoChoice,0.03319318179411712
2,0,Reward,-0.06839602087987352
3,0,StimulusSF_0.023,0.04979320924387968
4,0,StimulusSF_0.027,0.09342059042503953
5,0,StimulusSF_0.033,0.03045367966078273
6,0,StimulusSF_0.06,0.03716162126592354
7,0,StimulusSF_0.1,0.049983238557879554
8,0,StimulusSF_0.25,0.03051452571635528
9,0,StimulusORI_0,0.011202217554749486
10,0,StimulusORI_15,0.02661008721437234
11,0,StimulusORI_30,0.0828815859925861
12,0,StimulusORI_60,0.07979455056318188
13,0,StimulusORI_75,0.07721076326466954
14,0,StimulusORI_90,0.04753166847036934
