,index,Regressor,S
0,0,CategoryID,0.13749458588090213
1,0,GoChoice,0.006789825876787782
2,0,Reward,-0.012296899339085633
3,0,StimulusSF_0.023,0.03698790065309711
4,0,StimulusSF_0.027,0.037004419390495806
5,0,StimulusSF_0.033,0.020510288180703138
6,0,StimulusSF_0.06,0.0043805532639110975
7,0,StimulusSF_0.1,0.03131929043598839
8,0,StimulusSF_0.25,0.0820387728111131
9,0,StimulusORI_0,0.002446889044892703
10,0,StimulusORI_15,0.07142516302152521
11,0,StimulusORI_30,0.029937372784194546
12,0,StimulusORI_60,0.04048820636805023
13,0,StimulusORI_75,0.07866591883376853
14,0,StimulusORI_90,0.020018441220809115
