,index,Regressor,deltaR
0,0,CategoryID,0.4390617614694662
1,0,GoChoice,-0.027696451655656762
2,0,Reward,0.1675682049534083
3,0,StimulusSF_0.023,0.25831180199640486
4,0,StimulusSF_0.027,0.21125188106005643
5,0,StimulusSF_0.033,0.2607149711716249
6,0,StimulusSF_0.06,0.23256320876849912
7,0,StimulusSF_0.1,0.6403911922332906
8,0,StimulusSF_0.25,0.02560755015543925
9,0,StimulusORI_0,0.46901733921023486
10,0,StimulusORI_15,0.17760713258901795
11,0,StimulusORI_30,0.45676635718112846
12,0,StimulusORI_60,0.12905391525648557
13,0,StimulusORI_75,0.14060152442363497
14,0,StimulusORI_90,0.3969700525093966
