,index,Regressor,deltaR
0,0,CategoryID,0.6186977965235096
1,0,GoChoice,0.04079234438276297
2,0,Reward,-0.07439720861350674
3,0,StimulusSF_0.023,0.3200788340453409
4,0,StimulusSF_0.027,0.3886628386980252
5,0,StimulusSF_0.033,0.21343380030210718
6,0,StimulusSF_0.06,0.05162521318476539
7,0,StimulusSF_0.1,0.3094290260008127
8,0,StimulusSF_0.25,0.7729020314671036
9,0,StimulusORI_0,0.026964209852776616
10,0,StimulusORI_15,0.7599330352459972
11,0,StimulusORI_30,0.30196196021076427
12,0,StimulusORI_60,0.3376172528585806
13,0,StimulusORI_75,0.5171046388301359
14,0,StimulusORI_90,0.17150916812002753
