,index,Regressor,S
0,0,CategoryID,0.10296744472687475
1,0,GoChoice,0.008487436821101257
2,0,Reward,0.11073851691967274
3,0,StimulusSF_0.023,0.10812971191425697
4,0,StimulusSF_0.027,0.07188544767382805
5,0,StimulusSF_0.033,0.0631247292605012
6,0,StimulusSF_0.06,0.01664322623328847
7,0,StimulusSF_0.1,0.03126007145336866
8,0,StimulusSF_0.25,0.0027543609185763634
9,0,StimulusORI_0,0.04508096595362188
10,0,StimulusORI_15,0.030136126538535535
11,0,StimulusORI_30,0.03727849573868597
12,0,StimulusORI_60,0.06621211837123575
13,0,StimulusORI_75,0.036555122557856236
14,0,StimulusORI_90,0.040135931614240825
