,index,Regressor,S
0,0,CategoryID,0.15515352256363463
1,0,GoChoice,-0.052025821293737805
2,0,Reward,0.06798592639571938
3,0,StimulusSF_0.023,0.05576252240722685
4,0,StimulusSF_0.027,0.04461071006015888
5,0,StimulusSF_0.033,0.0640056390293912
6,0,StimulusSF_0.06,0.03478267085318195
7,0,StimulusSF_0.1,0.09014966821452679
8,0,StimulusSF_0.25,0.004185591421342943
9,0,StimulusORI_0,0.06273541625333175
10,0,StimulusORI_15,0.033118788035264836
11,0,StimulusORI_30,0.054269311215087
12,0,StimulusORI_60,0.021774830074795148
13,0,StimulusORI_75,0.023746983566375834
14,0,StimulusORI_90,0.0565522107109202
