,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.1129540573742156,0.0016,True
1,0,GoChoice,0.05254399565195189,0.2849,False
2,0,Reward,0.016864676579851412,0.823,False
3,0,StimulusSF_0.023,0.05543369369256068,0.0055,True
4,0,StimulusSF_0.027,0.07191800010253557,0.0002,True
5,0,StimulusSF_0.033,0.06297620529750889,0.0024,True
6,0,StimulusSF_0.06,0.021752676687896988,0.3609,False
7,0,StimulusSF_0.1,0.013511730541070903,0.576,False
8,0,StimulusSF_0.25,0.010885420098363019,0.6469,False
9,0,StimulusORI_0,0.07379089356184818,0.0089,True
10,0,StimulusORI_15,0.033755766572722334,0.3752,False
11,0,StimulusORI_30,0.0420172822957371,0.1811,False
12,0,StimulusORI_60,0.027644052565673538,0.4456,False
13,0,StimulusORI_75,0.04478195401640639,0.1125,False
14,0,StimulusORI_90,0.0250067658128571,0.6743,False
