,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.16750641402772004,0.0,True
1,0,GoChoice,-0.009525337442224835,0.6421,False
2,0,Reward,0.009909847593696425,0.7941,False
3,0,StimulusSF_0.023,0.05511295789753844,0.0002,True
4,0,StimulusSF_0.027,0.04439923786787281,0.003,True
5,0,StimulusSF_0.033,0.04558538743146191,0.0011,True
6,0,StimulusSF_0.06,0.06950124774192479,0.0,True
7,0,StimulusSF_0.1,0.07235693105908818,0.0,True
8,0,StimulusSF_0.25,0.05642289122973326,0.0,True
9,0,StimulusORI_0,0.03199879683168322,0.1053,False
10,0,StimulusORI_15,0.03707996741068953,0.1811,False
11,0,StimulusORI_30,0.025930130271394652,0.6406,False
12,0,StimulusORI_60,0.08409009765571929,0.0,True
13,0,StimulusORI_75,0.08484919122681084,0.0,True
14,0,StimulusORI_90,0.08218184209405031,0.0,True
