,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.00020553445241228152,0.7085,False
1,0,GoChoice,0.06191267835026448,0.6199,False
2,0,Reward,0.03700563031304532,0.8076,False
3,0,StimulusSF_0.023,-0.04526842687900351,0.5182,False
4,0,StimulusSF_0.027,0.001128393766796132,0.9562,False
5,0,StimulusSF_0.033,-0.017771711969004456,0.7885,False
6,0,StimulusSF_0.06,0.0015728604919986178,0.9032,False
7,0,StimulusSF_0.1,-1.5929834676409182e-05,0.9204,False
8,0,StimulusSF_0.25,0.009203807152295795,0.9786,False
9,0,StimulusORI_0,0.02711319084945857,0.809,False
10,0,StimulusORI_15,-0.0021836963223870742,0.3055,False
11,0,StimulusORI_30,-0.005680975419231071,0.2027,False
12,0,StimulusORI_60,-0.0031111358934117206,0.3161,False
13,0,StimulusORI_75,-0.00499747738001155,0.2327,False
14,0,StimulusORI_90,-0.016382125823738214,0.1438,False
