,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.002401976447978016,0.6861,False
1,0,GoChoice,-0.000993107841455232,0.818,False
2,0,Reward,0.007783735717724782,0.8728,False
3,0,StimulusSF_0.023,-0.0012783508482077932,0.9918,False
4,0,StimulusSF_0.027,0.0012096767388751206,0.9983,False
5,0,StimulusSF_0.033,-0.0011713500491298545,0.9863,False
6,0,StimulusSF_0.06,-0.001531510202051528,0.9211,False
7,0,StimulusSF_0.1,-0.0014427174231239626,0.9685,False
8,0,StimulusSF_0.25,-0.001133893985480472,0.9964,False
9,0,StimulusORI_0,0.002361118188186545,0.5868,False
10,0,StimulusORI_15,0.0007957657466050594,0.2297,False
11,0,StimulusORI_30,1.1836436360823654e-05,0.3076,False
12,0,StimulusORI_60,-0.0004948140715735211,0.2654,False
13,0,StimulusORI_75,8.992142592423313e-06,0.1475,False
14,0,StimulusORI_90,-0.0012767626603074345,0.3101,False
