,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.30837880934154716,0.0,True
1,0,GoChoice,0.03673097511026768,0.9046,False
2,0,Reward,0.062367801132082235,0.6172,False
3,0,StimulusSF_0.023,0.1769658241691177,0.0431,True
4,0,StimulusSF_0.027,0.24817536118420835,0.0032,True
5,0,StimulusSF_0.033,0.30389542655345547,0.0002,True
6,0,StimulusSF_0.06,0.2711963276224912,0.001,True
7,0,StimulusSF_0.1,0.14939647746598733,0.0804,False
8,0,StimulusSF_0.25,-0.011920266988566713,0.7926,False
9,0,StimulusORI_0,0.11432401308432091,0.2012,False
10,0,StimulusORI_15,0.16366592188713425,0.0152,True
11,0,StimulusORI_30,0.23830150754431012,0.0,True
12,0,StimulusORI_60,0.15089379888705742,0.0332,True
13,0,StimulusORI_75,0.1513475929096091,0.0248,True
14,0,StimulusORI_90,0.6758186071259388,0.0,True
