,index,Regressor,deltaR
0,0,CategoryID,0.5228147192499093
1,0,GoChoice,0.24806802390903868
2,0,Reward,-0.009803447837800072
3,0,StimulusSF_0.023,0.3330833656133917
4,0,StimulusSF_0.027,0.2262770685936688
5,0,StimulusSF_0.033,0.621714570006893
6,0,StimulusSF_0.06,0.32626626547986404
7,0,StimulusSF_0.1,0.4189436593879352
8,0,StimulusSF_0.25,0.16742707033471116
9,0,StimulusORI_0,0.25094757106502363
10,0,StimulusORI_15,0.32170614090809446
11,0,StimulusORI_30,0.2891925517710741
12,0,StimulusORI_60,0.35308248059713937
13,0,StimulusORI_75,0.277744773943706
14,0,StimulusORI_90,0.40517076075989344
