,index,Regressor,deltaR
0,0,CategoryID,0.8423533380550672
1,0,GoChoice,-0.26080768218309164
2,0,Reward,0.3594847908735131
3,0,StimulusSF_0.023,0.41219772679811295
4,0,StimulusSF_0.027,0.23246683832931525
5,0,StimulusSF_0.033,0.29551796951636133
6,0,StimulusSF_0.06,0.29031911305302144
7,0,StimulusSF_0.1,0.38326305814284534
8,0,StimulusSF_0.25,0.243605356432859
9,0,StimulusORI_0,0.1879705100166241
10,0,StimulusORI_15,0.2694700898480124
11,0,StimulusORI_30,0.15857223079314506
12,0,StimulusORI_60,0.11717936827584285
13,0,StimulusORI_75,0.43233816701972727
14,0,StimulusORI_90,0.24667398542270563
