,index,Regressor,S
0,0,CategoryID,0.15705090454827475
1,0,GoChoice,-4.0006142321084154e-05
2,0,Reward,0.0034106362266589363
3,0,StimulusSF_0.023,0.04703375052394496
4,0,StimulusSF_0.027,0.0586578420720639
5,0,StimulusSF_0.033,0.05694271944041354
6,0,StimulusSF_0.06,0.035656292743977636
7,0,StimulusSF_0.1,0.04188852090537634
8,0,StimulusSF_0.25,0.0727630376341561
9,0,StimulusORI_0,0.03976301810023199
10,0,StimulusORI_15,0.021469854587356133
11,0,StimulusORI_30,0.014092189740460816
12,0,StimulusORI_60,0.05987391469338474
13,0,StimulusORI_75,0.10213302764507584
14,0,StimulusORI_90,0.09206001049245673
