,index,Regressor,deltaR
0,0,CategoryID,0.33496959749845023
1,0,GoChoice,0.1336912144204368
2,0,Reward,-0.062226026131724024
3,0,StimulusSF_0.023,0.30012868206180277
4,0,StimulusSF_0.027,0.28552666403026994
5,0,StimulusSF_0.033,0.330407552242495
6,0,StimulusSF_0.06,0.4064672070258108
7,0,StimulusSF_0.1,0.30412872221544607
8,0,StimulusSF_0.25,0.38168523331609744
9,0,StimulusORI_0,0.21998680823356087
10,0,StimulusORI_15,0.24693920589802354
11,0,StimulusORI_30,0.4077410289748718
12,0,StimulusORI_60,0.29337124569507916
13,0,StimulusORI_75,0.1020878691623267
14,0,StimulusORI_90,0.21206514527412823
