,index,Regressor,deltaR
0,0,CategoryID,0.45888991320598715
1,0,GoChoice,-0.00022443158800675156
2,0,Reward,0.03719203359702011
3,0,StimulusSF_0.023,0.2581537321793146
4,0,StimulusSF_0.027,0.4518470853386325
5,0,StimulusSF_0.033,0.46576556818554604
6,0,StimulusSF_0.06,0.2207177761302921
7,0,StimulusSF_0.1,0.46140174602301925
8,0,StimulusSF_0.25,0.54429986648532
9,0,StimulusORI_0,0.5078968709597649
10,0,StimulusORI_15,0.20596076542740366
11,0,StimulusORI_30,0.08818121837101384
12,0,StimulusORI_60,0.2661936435448063
13,0,StimulusORI_75,0.7178324800975915
14,0,StimulusORI_90,0.9026528478108129
