,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-4.690666332443638e-05,0.6194,False
1,0,GoChoice,-0.00041871368283420696,0.7524,False
2,0,Reward,0.0008667670729896743,0.8166,False
3,0,StimulusSF_0.023,-0.0019263513302825996,0.9167,False
4,0,StimulusSF_0.027,-0.0018548597214403245,0.9733,False
5,0,StimulusSF_0.033,-0.002322244667074702,0.9962,False
6,0,StimulusSF_0.06,-0.0019097504108788188,0.9319,False
7,0,StimulusSF_0.1,-0.00014258383957260756,0.9819,False
8,0,StimulusSF_0.25,-0.0004856620212752294,0.9538,False
9,0,StimulusORI_0,-0.001365763100971279,0.5406,False
10,0,StimulusORI_15,-0.0021600011341807585,0.2771,False
11,0,StimulusORI_30,0.0015800937710759577,0.2275,False
12,0,StimulusORI_60,-0.00018789146470160611,0.2207,False
13,0,StimulusORI_75,-0.002162276683431774,0.1561,False
14,0,StimulusORI_90,-0.0005795722447485968,0.2234,False
