,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.1224276590780482,0.0,True
1,0,GoChoice,-0.10085904673810107,0.0,True
2,0,Reward,0.05863510808600993,0.0157,True
3,0,StimulusSF_0.023,0.038929815765309767,0.0106,True
4,0,StimulusSF_0.027,0.06607032808830587,0.0,True
5,0,StimulusSF_0.033,0.06559465600032269,0.0,True
6,0,StimulusSF_0.06,0.07023096591992463,0.0,True
7,0,StimulusSF_0.1,0.050842933574345245,0.0005,True
8,0,StimulusSF_0.25,0.04769763958210219,0.0016,True
9,0,StimulusORI_0,0.04040651564195876,0.2111,False
10,0,StimulusORI_15,0.026198301856002696,0.8531,False
11,0,StimulusORI_30,0.010709126000416817,0.3137,False
12,0,StimulusORI_60,0.07137308464473996,0.0004,True
13,0,StimulusORI_75,0.11416804476598871,0.0,True
14,0,StimulusORI_90,0.13032991877557254,0.0,True
