,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.000984307418597341,0.9264,False
1,0,GoChoice,0.04405839117517263,0.7684,False
2,0,Reward,0.00719482309762054,0.9584,False
3,0,StimulusSF_0.023,0.0006977442014113322,0.8958,False
4,0,StimulusSF_0.027,-0.0025387536776304565,0.9381,False
5,0,StimulusSF_0.033,-0.0022850070008253454,0.9268,False
6,0,StimulusSF_0.06,0.0003476077475484396,0.8839,False
7,0,StimulusSF_0.1,0.0004789607433703935,0.8706,False
8,0,StimulusSF_0.25,9.929898676463988e-05,0.8601,False
9,0,StimulusORI_0,-3.410412042342825e-05,0.2989,False
10,0,StimulusORI_15,8.705913364798201e-05,0.1752,False
11,0,StimulusORI_30,-0.0016313737004476359,0.1462,False
12,0,StimulusORI_60,0.0005530025617072054,0.1214,False
13,0,StimulusORI_75,-0.0002599214632927893,0.1318,False
14,0,StimulusORI_90,-0.001825550532763287,0.1699,False
