,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-4.035609253810746e-05,0.7039,False
1,0,GoChoice,0.0013276659089061504,0.6998,False
2,0,Reward,0.00799724407485597,0.8445,False
3,0,StimulusSF_0.023,-0.0003867021743074184,0.9998,False
4,0,StimulusSF_0.027,-0.00031285437517952763,0.9972,False
5,0,StimulusSF_0.033,-0.0023262118690346167,0.971,False
6,0,StimulusSF_0.06,-0.00160034875365625,0.9701,False
7,0,StimulusSF_0.1,0.00016360086391475903,0.9783,False
8,0,StimulusSF_0.25,-0.0013689519530646899,0.9713,False
9,0,StimulusORI_0,-0.0011300273712814835,0.2809,False
10,0,StimulusORI_15,-0.0008308732074195913,0.2273,False
11,0,StimulusORI_30,-0.0003241660038045824,0.2525,False
12,0,StimulusORI_60,-0.00033757963901359656,0.2651,False
13,0,StimulusORI_75,-0.001439808591832209,0.2424,False
14,0,StimulusORI_90,-0.001398663106244924,0.1666,False
